verb | anticipate | anticipar
expr | over the top | desmesurado (demasiado extremo)
noun | pace | ritmo
noun | paparazzi | paparazzi
ph-v | pick on | acosar, meterse con
adje | pointless | inútil, sin sentido
noun | privacy | privacidad
expr | put the record straight | dejar las cosas claras
noun | recommendation | sugerencia, recomendación
adje | reserved | reservado (una persona)
expr | roll up your sleeves | arremangarse (preparase para algo)
noun | sacrifice | sacrificio
noun | seminar | seminario, cursillo
expr | skeletons in the cupboard | secretos vergonzosos
adje | smitten | enamorado
verb | snap | ladrar, gruñir
noun | soap opera | culebrón
ph-v | stem from | originarse de
adje | struggling | en apuros, en aprietos
expr | take yourself (too) seriously | tomarse en serio uno mismo
verb | tease | burlarse de
expr | tell the difference | notar la diferencia (entre dos cosas)
expr | then and there | en ese momento y lugar
verb | touch | tocar, acariciar
expr | tough upbringing | infancia difícil
verb | transform | transformar
noun | transition | transición
expr | turn nasty | volverse desagradable
expr | under the weather | no sentirse bien, mal, estar malo
adje | universal | universal
expr | up to the mark | dentro de lo esperable
adve | vice versa | viceversa
noun | victim mentality | víctima mental (uno se considera la víctima de las acciones de otros)
noun | villain | villano, el malvado
adje | accessible | accessible
expr | at your earliest convenience | tan ponto como te sea posible
verb | avoid | evitar
noun | balance | equilibrio
adje | conclusive | decisivo
noun | consequence | consecuencia
adje | content | conforme, contento, satisfecho
adje | conventional | convencional, tradicional, ordinario
verb | co-opt | nombrar a
noun | deceit | engaño, mentira
verb | distinguish | distinguir
verb | dramatise | dramatizar, escenificar
adje | effective | eficaz, efectivo
adje | efficient | eficiente
noun | enquiry | pregunta
noun | evaluation | evaluación, análisis
verb | follow | seguir
expr | geared towards | dirigido a (un grupo de personas / una situación...)
expr | give sb a ring | telefonear a alguien, llamar a alguien
noun | independence | independencia
expr | keep an eye open | mantener un ojo abierto
adje | literate | alfabetizado (sabe leer y escribir)
adje | low-cost | barato
adje | mature | maduro
noun | objection | oposición, objeción
noun | personnel | personal
verb | purchase | comprar
adje | rational | racional
prep | regarding | en relación con, sobre
verb | speculate | especular que, suponer que
ph-v | take on | aceptar (un trabajo)
noun | tariff | tarifa
noun | top up | recargar (una tarjeta de crédito por ejemplo)
adve | ultimately | finalmente
adje | varied | variado, diverso
noun | abundance | abundancia
adje | adequate | adecuado
adje | advisable | aconsejable, recomendable
noun | applicant | solicitante
noun | career ladder | escalar posiciones (de trabajos) (cada vez vas cobrando más)
adje | challenging | desafiante
adje | competitive | competitivo
noun | competitive salary | salario competitivo
noun | curriculum vitae | curriculum vitae
noun | dedication | dedicación
verb | determine | determinar
adje | downhearted | desanimado
verb | eliminate | eliminar
verb | enrol | inscribirse, matricularse
noun | entrepreneur | emprendedor
noun | equivalent | equivalente
verb | exceed | exceder
noun | funds | fondos (dinero)
expr | get off the ground | despegar, arrancar, empezar (un proyecto)
expr | go for it | ve a por ello
expr | in trouble | en problemas
adje | inspirational | inspirador
noun | job seeker | persona que busca trabajo
verb | mislead | engañar
noun | oil spill | derrame de petróleo
noun | operating theatre | quirófano
noun | peer | par (dos cosas iguales o muy similares)
noun | predecessor | predecesor
noun | rejection | rechazo
adve | respectively | respectivamente
ph-v | rule out | descartar
noun | screening (review of a selection) | revisión, eliminación, filtración
adje | sketchy | incompleto, esbozado
adje | stressed out | estresado
ph-v | swarm with | llenar con (lleno de personas o de cosas)
noun | target | objetivo
noun | tendency | tendencia
noun | thrill | emoción, excitación
adje | unemployed | desempleado
adje | waterproof | impermeable
ph-v | wear off | desaparecer, desvanecerse (gradualmente)
noun | willingness | disposición (estar en disposición de)
noun | work placement | trabajo en prácticas
ph-v | break up | interrumpirse (una llamada de teléfono)
noun | breakthrough | avance, logro, descubrimiento
ph-v | call back | devolver la llamada
noun | catch up | reunión (informal) (para ponerse al día de las noticias)
verb | chain | encadenar
ph-v | come up with | proponer, inventarse
expr | be cut off | ser interrumpida (una llamada a causa de un problema)
verb | disentangle | desenredar
expr | do your best | hacer algo lo mejor que uno pueda
adje | drawn out | prolongar
verb | dump | terminar de golpe una relación
adje | face-to-face | cara a cara
adje | futuristic | futurista
noun | gadget | aparato, artefacto, dispositivo
ph-v | get through (phone) | localizar (para poder poder hablar con el por teléfono)
ph-v | go off | dejar de gustar algo, alguien
ph-v | hang on | esperar
ph-v | hang up | colgar
expr | have no way of knowing | no hay manera de saber
adje | immobile | inmóvil
adje | impolite | descortés
expr | it goes without saying | no hace falta decir nada (és obvio)
ph-v | leave out | dejar fuera (excluir) a algo, alguien
adje | lengthy | largo, extenso, prolongado
noun | mobility | movilidad
expr | off the hook | descolgado (el teléfono)
expr | out of the blue | inesperadamente, de la nada, sin avisar
ph-v | pass sb over | pasar a alguien al teléfono (ejemplo: te paso con Maria)
ph-v | plunge into | tirarse de cabeza (figurativo: estar entusiasmado por empezar algo)
adje | primitive | primitivo
expr | put sb on hold | dejar a alguien en espera
ph-v | put sb through | pasar a alguien al teléfono (ejemplo: te paso con Maria)
noun | reception | recepción
noun | recipient | receptor
ph-v | ring back | volver a llamar
ph-v | ring off | colgar
ph-v | run down | perder potencia
ph-v | run out | agotarse
adje | satirical | satírico
adje | sociological | sociológico
ph-v | speak up | hablar mas fuerte
adve | straightaway | inmediatamente
ph-v | take off | despegar (empezar a ser popular)
expr | take someone seriously | tomarse en serio
expr | take someone's word for sth | confiar en la palabra de alguien
adje | tedious | aburrido
expr | thing of the past | cosa del pasado
adve | to and fro | de un lado a otro (vaivén)
verb | unwrap | desenvolver, abrir
noun | veteran | veterano
noun | vowel | vocal
expr | wouldn't have it any other way | no lo haría de ninguna otra manera
adje | gorgeous | precioso, maravilloso
noun | ancestry | antecedentes, ascendencia (antecedentes)
noun | apprenticeship | aprendizaje
noun | boot | maletero
verb | break (a story) | dar la primicia (se hace público por primera vez)
noun | bullet point | punto (de enumeración en una lista)
verb | cause | provocar
noun | checkout cashier | cajero, cajero de un supermercado (persona)
adje | collapsible | plegable
noun | commentator | comentarista
noun | downside | inconveniente, desventaja, lado negativo
noun | drawback | desventaja
expr | drive sth home | hacer entender, tomar consciencia
adve | eventually | finalmente
verb | exploit | explotar, abusar (a alguien no pagándole lo que le toca)
ph-v | fall into | empezar a hacer algo (sin intención)
noun | flexitime | horario flexible
noun | flyer | folleto, folleto de publicidad
expr | gap in the market | brecha en el mercado
ph-v | get into | meterse en, engancharse con, empezar algo
ph-v | get sb down | desanimar a alguien
noun | induction | iniciación (en un trabajo)
adje | influential | influyente
noun | kitchen hand | cocinero (de una casa / la persona que cocina)
noun | market | mercado
noun | MBadj | MBA
adje | naïve | ingenuo
adje | nine-to-five | de nueve a cinco (las horas de trabajo son de 9 a 4)
noun | office junior | subordinado (persona que hace trabajos no calificados)
noun | outlet | tienda de ofertas
verb | overwhelm | agobiar, abrumar
noun | perception | percepción
noun | perk | beneficio (gracias a tu trabajo hecho)
noun | plastic surgeon | cirujano plástico
noun | potential | potencial
adje | profitable | rentable
adje | profound | profundo (a feeling)
expr | prophet of doom | profeta "negativo" (que dice que pasaran cosas malas)
noun | refuse collector | basurero
noun | roots | raíces
adje | run-of-the-mill | el típico, común y corriente
noun | salon | salón de belleza, peluquería
noun | shelf stacker | persona que reemplaza productos en una estanteria de una tienda, reponero, almacenero
ph-v | shine through | verse, notarse
ph-v | shoot off | salir disparado
noun | stockbroker | corredor de bolsa (comprador y vendedor de acciones)
verb | triple | triplicar
expr | be up to no good | estar tramando algo malo
noun | work experience | experiencia laboral, prácticas (de un estudiante)
adje | absorbing | muy interesante, absorbente
verb | approve | aprobar
verb | assassinate | asesinar (a alguien famoso)
noun | biro | bolígrafo (tipo BIC)
verb | bleep | emitir pitidos, pitar
noun | coincidence | coincidencia
noun | collar | collar
adje | common | común
verb | comprise | componerse de, constar de
adje | condemned | condenado
noun | contour | contorno
adje | courting | tener una relación romántica con alguien que esperas casarte
adje | cutting-edge | innovador
noun | dashboard | tablero de mandos, salpicadero (de un coche)
adje | disposable | desechable, de usar y tirar
adje | engrossing | fascinante, interesante, atractivo
adje | flexible | flexible
noun | gearbox | caja de cambios
adje | hackneyed | trillado, gastado (que una idea ya se ha dicho mucho y es aburrida)
verb | hiccup | hipar (tener hipo)
adje | hideous | espantoso, horroroso, horrible
adje | ill-conceived | mal planeado, mal concebido
adje | imaginative | imaginativo
adje | impractical | poco práctico
adje | indispensable | indispensable
adje | ingenious | ingenioso
adje | innovative | innovador
verb | insist | insistir
adje | inspired | inspirado
adje | inventive | inventivo
noun | laundry | ropa sucia, colada
verb | maintain | mantener
ph-v | mess up | desordenar
noun | mop | mocho, fregona
expr | be on the point of sth | estar a punto de hacer algo, estar a punto de
verb | overcome | abrumar a, anegar a
noun | patent | patente
adje | pivotable | pivotable
adje | redundant | en paro, despedido (de un trabajo)
noun | ring-pull | pieza metálica para abrir una lata, anilla
expr | run a bath | preparar un baño
noun | SatNav, satnav, Satnav | navegación por satélite
noun | sight | vista
noun | sliced bread | pan rebanado
verb | stow, store | guardar, almacenar (algo hasta que sea necesario)
adje | stunning | maravilloso, asombroso, increíble
noun | suction pad | ventosa
expr | take pride in sth | sentirse orgulloso de algo
noun | treadmill | cinta de andar, cinta de correr
adje | trivial | trivial
adje | vain | vanidoso, superficial, egoísta
noun | amenity | servicios, comodidades, instalaciones
noun | atmosphere | ambiente, atmósfera (de un lugar)
noun | availability | disponibilidad
expr | beyond recognition | mas allá del reconocimiento (una cosa que ahora ya no se reconoce)
noun | challenge | desafío
noun | character | carácter
noun | charm | encanto
noun | citizen | ciudadano
noun | congestion | congestión
noun | dehumanization | deshumanización
verb | encounter | toparse con (algo desagradable)
noun | equality | igualdad
adje | essential | esencial
adje | exhilarating | estimulante, excitante
verb | face | enfrentar, afrontar
noun | foresight | previsión, adivinación (de lo que passara en el futuro)
expr | green spaces | espacios verdes (areas con plantas y hierba en una ciudad)
noun | housing | alojamiento, vivienda
expr | hustle and bustle | ajetreo (sonido y actividad de una ciudad por ejemplo)
expr | in the name of progress | en nombre del progreso
adve | inevitably | inevitablemente
noun | infrastructure | infraestructura
expr | leave something to be desired | dejar mucho que desear
expr | leisure facilities | instalaciones de ocio, instalaciones recreativas
noun | make-over | cambiar de imagen, cambiar de look, remodelar (persona o sitio)
noun | megacity | megaciudad
adje | outstanding | excepcional, espectacular, impresionante
noun | pitfall | obstáculo, dificultad, inconveniente
noun | population | población
adje | pre-automobile | pre-automóvil
adje | prosperous | próspero
adje | regrettable | lamentable, desafortunado
verb | retain | conservar, retener, quedarse con
expr | rich in history | rica en historia, rico en historia
expr | sense of the past | sentido del pasado
adje | stable | estable
expr | standard of living | estándar de vida, nivel de vida
verb | thrive | crecer, desarrollarse
adje | unique | único
adje | unprecedented | sin precedentes
adje | urban | urbano
adje | vibrant | vibrante, dinámico
adje | vivid | vívido, fresco
noun | welfare | bienestar, felicidad, bienestar social, prestaciones sociales
adje | wholesome | saludable, sano
adje | wise | sabio
noun | acceptance | aceptación
verb | acquire | adquirir
verb | administer | administrar, dar, suministrar
verb | anticipate | prever, anticipar
verb | ascertain | verificar, confirmar
noun | assumption | suposición
noun | attendance | asistencia
noun | awareness | conciencia
expr | be your best bet | ser su mejor apuesta, ser su mejor opción
expr | career path | trayectoria profesional
noun | competition | competición, concurso
noun | contribution | contribución
adje | contributory | contributivo, contribuyente
verb | cope | superar, salir adelante
adje | cross-cultural | multicultural
noun | datadverb | datos
expr | draw a line between | trazar una línea entre (figurado; mantener dos situaciones por separado)
ph-v | embark on | embarcarse en, aventurarse en
verb | ensure | asegurar, garantizar
verb | establish | establecer, determinar, demostrar
noun | expectation | expectativa
noun | factor | factor
adje | feasible | factible, viable
verb | glower | mirar amenazadoramente, matar con la mirada, ceño fruncido
verb | ignore | ignorar
noun | impact | impacto, efecto
verb | investigate | investigar
ph-v | look back on | recordar, mirar hacia atrás
adje | macho | macho, predominantemente masculino
noun | mixed feelings | sentimientos encontrados, sentimientos opuestos, sentimientos contradictorios
noun | objectivity | objetividad
noun | pattern | patrón
noun | perspective | perspectiva
noun | placebo | placebo
adje | primary | primario, principal
verb | prompt | provocar, generar
noun | questionnaire | cuestionario
noun | response | respuesta
noun | score | puntuación
verb | seek | buscar (especialmente algo no físico. por ejemplo: buscar la vacuna)
adje | self-contained | autónomo, independiente
adje | self-perceived | autopercibido
noun | significance | significado, importancia
adje | significant | significativo, importante
verb | signify | significar, querer decir
ph-v | squeeze into | meterse algo en un lugar pequeño, meter a presión, apretar, estrujar
ph-v | stick to | atenerse a (obedecer una ley o norma)
noun | strategy | estrategia
expr | survival instinct | instinto de supervivencia
noun | telecommuting | teletrabajo
adje | aggrieved | agraviado, ofendido
adje | appalled | horrorizado, en shock, paralizado
expr | as opposed to | en lugar de
noun | booth | cabina
expr | bring to your attention | traer a su atención
adje | businesslike | serio, formal
noun | catwalk | pasarela, pasadizo (desfile de moda)
noun | changing room | vestuario
noun | clothing | ropa, prendas de vestir
noun | component | componente
verb | conclude | concluir
expr | crystal clear | más claro que el agua
expr | designer label | marca del diseñador, ropa de marca
noun | detriment | daño, agravio
ph-v | do without | arreglárselas, apañarse (sin algo)
noun | dress code | código de vestimenta, etiqueta
verb | drive | manejar
noun | earpiece | auricular
noun | fake | falso
verb | fit | quedar bien, entrar (en algún sitio del cuerpo), servir
adje | flamboyant | extravagante
verb | flout | desobedecer, incumplir
noun | garment | prenda (de vestir)
verb | groom | arreglarse (peinarse / maquillarse / ...)
expr | group identity | identidad de grupo
noun | human resources | recursos humanos
adje | identifiable | identificable
verb | imitate | imitar
noun | innovation | innovación
noun | insider | persona con información privilegiada
adje | intense | intenso
verb | interact | interactuar, relacionarse
ph-v | keep up with | estar actualizado, estar al tanto de, seguir el ritmo
noun | look | estilo, look
adje | made-to-measure | a medida
noun | the mainstream | la corriente principal, cultura dominante
adje | mistaken for | confundido, confundido con, confundido por
noun | outsider | forastero, extraño
adje | outward, outwards | por fuera, exterior, externo, saliente (como es uno / como es una cosa por fuera)
noun | peacock | pavo real
noun | phenomenon | fenómeno
verb | press | presionar
adje | prospective | futuro, posible, esperado
verb | shape | dar forma, modelar
adje | shiny | brillante
ph-v | single out | dar un trato especial (a alguien)
noun | slang | jerga
adje | sloppy | descuidado, chapucero
noun | smart card | tarjeta electrónica
ph-v | strip off | quitarse, desvestirse
adje | stylish | elegante
verb | suit | quedar bien (la ropa; sobretodo los colores y el estilo acordes con la persona)
noun | tailoring | sastrería
adje | three-dimensional | tridimensional
expr | toe the line | obedecer las reglas, cumplir las reglas
adje | top-of-the-range | lo mas caro, de lujo
noun | trend | tendencia
ph-v | turn up (somewhere) | aparecer (en alguna parte no esperada o planeada)
adje | underlying | subyacente (por debajo de algo superior)
noun | viewpoint | punto de vista
noun | wealth | riqueza
verb | accommodate | dar hospedaje a, hospedar a
verb | aspire | aspirar, esforzarse por alcanzar
adje | balanced | equilibrado
noun | caffeine | cafeína
noun | calorie | caloría
expr | change your mind | cambiar de opinión, cambiar de idea
expr | be conscious of | ser consciente de
adve | conversely | por el contrario
adje | crunchy | crujiente
noun | CV | CV (currículum)
noun | deadline | fecha límite
noun | detour | desvío
verb | elicit | obtener, sacar, provocar
adje | favourable | favorable, agraciado
noun | globalisation | globalización
noun | gut feeling | instinto, presentimiento, corazonada
noun | hospitality | hostelera, hotelera, hospitalidad
verb | host | alojar, acoger
noun | insight | conocimiento, percepción
noun | instinct | instinto
noun | intuition | intuición
noun | letter of application, letter of recommendation | carta de solicitud
adve | literally | literalmente
verb | manipulate | manipular
noun | negativity | negatividad
adje | numerous | numeroso
noun | outcome | resultado, consecuencia
verb | outline | resumir
verb | overestimate | sobreestimar
expr | play tricks on | jugar con, engañar a
noun | price tag | etiqueta de precio
noun | publishing | industria editorial, editorial
verb | raise | aumentar, incrementar
noun | refund | reembolso
noun | resort | centro turístico
noun | résumé | CV (in american english)
adje | searching | minucioso, examinador
verb | switch | cambiar
noun | topping | cobertura (de chocolate en un pastel por ejemplo)
noun | upturn | mejora
ph-v | weigh up | sopesar algo, comparar algo con, ponderar
noun | wording | redacción, expresión
adje | arid | árido
verb | associate | asociar
adje | astounded | asombrado
noun | blindness | ceguera
adje | brilliant | brillante, genial, excelente
verb | captivate | cautivar
adje | classy | con clase, elegante
noun | clipping | recorte (de un diario por ejemplo)
noun | colour blindness | daltonismo
verb | complement | complementar
noun | compliment | cumplido
verb | counsel | aconsejar
verb | crash | colgarse, fallar (en un ordenador)
noun | deficiency | deficiencia
expr | delicate shade | color claro, tono claro, tono suave
verb | display | mostrar, exhibir
adje | dominant | dominante
adje | dull | no brillante y oscuro, apagado, mate, sin brillo (un color)
verb | duplicate | duplicar
verb | enhance | mejorar
verb | entice | persuadir
verb | execute | ejecutar
noun | fulfilment | cumplimiento
expr | full bloom | plena floración
noun | fumes | gases
adje | fundamental | fundamental
adje | genetic | genético
expr | get sth off your chest | desahogarse, sacarse algo de encima
ph-v | go out with | salir con (alguna persona)
adje | greenish | verdoso
noun | household | grupo de personas con quien vives, hogar, vivienda
expr | in anticipation of | a la expectativa de, anticipando
noun | ingredient | ingrediente
noun | inmate | preso, enfermo (cerrados en la prisión o hospital para enfermos mentales)
adve | instinctively | instintivamente
noun | intimacy | intimidad
verb | invite | invitar
noun | life cycle | ciclo vital
adje | luxurious | lujoso
noun | milestone | hito
verb | overcook | cocinar de más (más tiempo)
noun | palette | paleta (de un pintor)
verb | perceive | percibir
adje | physiological | fisiológico
noun | pigment | pigmento
expr | play it safe | ir sobre seguro, caminar sobre seguro
noun | plug | enchufe
ph-v | plunge sb into sth | hacer que alguien experimente de repente una mala situación o infelicidad
adve | prior to | antes de
noun | recipe | receta
verb | remind | recordar
adje | sacred | sagrado
noun | seconds | segundos (segundos platos en una comida)
noun | shorthand | taquigrafía
noun | stall holder | puestero (persona que tiene una parada en un mercado)
ph-v | stand out | destacar
adje | straightforward | sencillo, directo
noun | subtlety | sutileza
noun | surroundings | alrededores, entorno
adje | synonymous | sinónimo
ph-v | tell apart | distinguir
adve | thoroughly | completamente
noun | torch | linterna
noun | traffic light | semáforo
adje | tranquil | tranquilo
noun | transience | transitoriedad, corta duración, brevedad
adje | tremendous | tremendo
verb | trick | engañar
verb | trigger | desencadenar
noun | turning point | punto de inflexión
expr | under conditions | bajo condiciones
adje | veggie | vegetariana (informal)
noun | vibrancy | vitalidad
verb | wilt | marchitarse, decaer
noun | wisdom | sabiduría
adje | abstract | abstracto
noun | cavity | cavidad
verb | chew | masticar
noun | chimp | chimpancé
verb | choke | ahogarse
verb | compensate | compensar
expr | be disposed towards sth | estar dispuesto a, estar deseando, estar dispuesto
verb | emerge | surgir, emerger
noun | endeavour | esfuerzo, empeño
adje | evolutionary | evolutivo
expr | fall into place | suceder, pasar (pasar fácil con éxito)
verb | fill | proveer (trabajo a una persona)
verb | formulate | formular
noun | gestation period | periodo de gestación, periodo de embarazo
adve | in conclusion | en conclusión
verb | inherit | heredar
noun | lifespan | esperanza de vida
noun | make-up, makeup | constitución
noun | means | medio (ej: Conseguir una licenciatura es un medio para alcanzar un fin.)
verb | overlook | pasar por alto
noun | prospects | perspectivas, expectativas, posibilidades (de tener éxito especialmente en el trabajo)
verb | recruit | reclutar
verb | reveal | revelar
adje | right-handed | diestro
noun | sign language | lenguaje de señas
verb | slant | inclinar
adje | spatial | espacial
verb | swallow | tragar, engullir
noun | syntax | sintaxis
noun | tutorial (tuition) | clase (con un professor y un grupo pequeño de estudiantes)
adje | upright | vertical
noun | adolescent | adolescente
adje | anonymous | anónimo
noun | anxiety | ansiedad
adje | authoritarian | autoritario
adje | battered | abollado, dañado (por haberse utilizado mucho)
verb | behave | comportarse
adje | blurred | borroso, confuso, poco claro
adje | broad-shouldered | ancho de hombros
noun | bullying | bullying
noun | chore | tarea rutinaria (pesada de hacer)
adje | close | íntima, cercana (una relación)
ph-v | come by | dar con, encontrar
adje | controversial | controvertido
noun | craze | moda
verb | dare | atreverse
verb | decline | disminuir, decaer
noun | distraction | distracción
adje | durable | duradero, resistente
verb | flock | ir en manada (a algún sitio)
noun | handful | niño problemático
expr | have no say (in sth) | no estar involucrado en la toma de decisiones sobre alguna cosa, no influenciar
ph-v | hold out against | resistir ante, oponerse
adje | jokey | en broma
ph-v | lay down (rules) | poner, establecer, imponer (la normas)
adje | moral | moral
adje | nostalgic | nostálgico
noun | ownership | propiedad, posesión
noun | poll | encuesta
noun | pride | orgullo
verb | promote | promover
expr | put your feet up | relajarse, tirarse a la bartola, sacarse los zapatos (en sentido figurado)
noun | rarity | rareza
verb | resent | estar resentido de
adje | rewarding | gratificante, provechoso, satisfactorio
verb | rip | rasgarse, romperse
noun | rivet | remache, roblón
ph-v | set apart | reservar, separar, guardar
adje | so-called | así llamado, llamado, denominado
ph-v | stand up to | resistir de pie, resistir, aguantar
adje | strict | estricto
adje | top-of-the-line | de primera línea, de primera calidad
adje | unbearable | inaguantable, insoportable
verb | undergo | someterse, experimentar, padecer, sufrir
noun | undertone | trasfondo, mensaje de fondo (figurativo)
expr | vested interest | interés personal
adje | accomplished | consumado, dotado
verb | achieve | lograr
expr | be all ears | ser todo oídos
noun | angina | angina de pecho
noun | appreciation | apreciación, agradecimiento
adve | barely | apenas
expr | bite your tongue | morderse la lengua
noun | blood vessel | vaso sanguíneo
noun | bloodstream | flujo sanguíneo
verb | boost | aumentar
noun | brain | cerebro
expr | break your heart | romper el corazón
ph-v | bump into | encontrarse con, toparse con
noun | cancer | cáncer
verb | caper | saltar, brincar, bailotear
expr | catch someone's eye | llamar la atención de alguien, llamar la atención
noun | cell | célula
adje | cellular | celular
verb | convert | cambiar (de forma)
noun | cortex | corteza
noun | dab hand | experto, hábil
verb | distribute | distribuir
adje | diverse | diverso
noun | documentary | documental
expr | be down in the mouth | estar triste
noun | draper | vendedor de telas, mercero
noun | energy | energía
verb | estimate | estimar
noun | exception | excepción
noun | explosive | explosivo
verb | extract | extraer
adje | extraneous | superfluo, no pertinente
expr | fall head over heels in love with sb | estar perdidamente enamorado de
ph-v | flash up | aparecer (en una pantalla por un tiempo muy pequeño)
adje | gassy | gaseoso
expr | get on your nerves | poner de los nervios a, sacar de quicio a
expr | give sb a hand | echar una mano a alguien
expr | have a finger in every pie | estar metido en todo
expr | have your head in the clouds | estar en las nubes
adje | impending | inminente
noun | implication | implicación
noun | insomniadverb | insomnio
expr | keep an eye on | echar un ojo, vigilar
expr | keep sb on their toes | mantener alerta a alguien, mantener concentrado a alguien
expr | keep your fingers crossed | cruzar los dedos
noun | lining | recubrimiento, forro
noun | liver | hígado
verb | magnify | aumentar
noun | microscope | microscopio
noun | molecule | molécula
noun | muscle | músculo
adje | negative | negativo, pesimista
adje | notable | notable, destacado, señalado
noun | nutrient | nutriente
expr | on no account | de ninguna manera
adje | optimistic | optimista
adje | overall | en general
noun | pathogen | agente patógeno, germen
noun | pessimism | pesimismo
noun | policymaker | legislador
adje | positive | positivo
noun | positivity | positividad
adje | predetermined | predeterminado
verb | purr | murmurar, susurrar
expr | put sb's mind at rest | tranquilizar a, tranquilizar, tranquilizar a alguien
verb | regulate | regular
noun | resolution | resolución
adje | sceptical | escéptico
expr | set your heart on sth, doing sth | poner tu corazón en hacer, algo
verb | soothe | calmar, tranquilizar
verb | spot | localizar, detectar
adje | striking | notable, llamativo, sorprendente
noun | substance | sustancia
noun | supremacy | supremacía
verb | suspect | sospechar
noun | toxin | toxina
adje | ubiquitous | ubicuo, extendido
adve | unhesitatingly | sin vacilar, sin dudar
noun | well-being | bienestar
noun | wonder | preguntarse
adje | blown away | volar la cabeza, deslumbrar
noun | buff (fan) | aficionado, entusiasta
adje | convincing | convincente
adje | crystal clear | más claro que el agua
adje | distinctive | distintivo
noun | dreadlocks | rastas
adje | ecofriendly, environmentally friendly | respetuoso con el medio ambiente
verb | emerge | surgir, emerger
adje | evocative | evocador
verb | evolve | evolucionar
verb | facilitate | facilitar
verb | follow | seguirse, deducirse (it follows that... / se sigue que...)
noun | glimmer | destello
adje | haunted | turbado, afligido
noun | heroism | heroísmo
adje | hip | a la moda, a la última
expr | in other words | en otras palabras
verb | integrate | integrar, incorporar
expr | be in the know | estar al tanto, ser conocedor de
expr | be in two minds | estar entre dos aguas, tener dudas, estar indeciso
noun | leap | salto
adje | low-brow | inculto, populachero
adje | mind-blowing | alucinante, extraordinario
noun | obstacle | obstáculo
expr | off the cuff | improvisadamente, improvisado
expr | on the whole | en conjunto, teniendo todo en cuenta
adje | outdated | anticuado
noun | plot | trama, argumento
expr | quasi- | casi-
adje | rave | elogio, crítica positiva
expr | ring true | parecer sincero, sonar sincero
noun | sacrifice | sacrificio
adve | seamlessly | sin interrupciones, continuo, sin problemas
expr | stand the test of time | resistir el paso del tiempo
ph-v | stand up | ponerse de pie, ponerse en pie, levantarse
expr | stroke of luck | golpe de suerte
adje | subtitled | subtitulado
expr | switch sides | cambio de lados, cambio de bandos
adje | thought-provoking | dar que pensar (que hace pensar mucho)
adje | touchy-feely | sobón, franalero, sentimental, íntimo
adve | undeniably | sin lugar a dudas, innegablemente
expr | be up there with | estar ahí arriba con
prep | among | entre
noun | wishful thinking | ilusión, deseo
noun | angle | punto de vista, perspectiva
noun | application | utilidad, aplicación
verb | blink | parpadear
ph-v | catch out | atrapar, pillar, pillar con las manos en la masa
noun | circumstance | circunstancia
verb | claim | afirmar
noun | clue | pista (=hint)
adje | common | común
noun | con-man | estafador, timador
adje | consistent | consistente, coherente
adve | currently | actualmente
noun | decade | década
verb | depict | representar
verb | detect | detectar, notar
verb | drive | manejar, impulsar
noun | fib | mentirijillas
noun | fiction | ficción
verb | fidget | estar inquieto, moverse nerviosamente
noun | flaw | fallo, error (de un plan previsito)
adje | focused | concentrado
noun | frequency | frecuencia
noun | gesture | gesto
adje | hilarious | divertidísimo
verb | identify | identificar
verb | indicate | indicar
noun | innocence | inocencia
verb | interpret | interpretar (el significado de algo)
expr | kick a habit | dejar de hacer un hábito (por ejemplo: dejar de fumar)
expr | leave sth to chance | dejar algo al azar, dejar algo a la suerte
adje | major | mayor
expr | make eye contact | hacer contacto visual
adje | memorable | memorable
verb | miss | extrañar, echar de menos
noun | mood | estado de ánimo
noun | parachute | paracaídas
adje | period | período
adve | permanently | permanentemente
verb | pick | escoger
verb | pose | plantear (una pregunta)
adje | promising | prometedor
verb | represent | representar
adve | roughly | aproximadamente
adje | sentimental | sentimental
noun | setting | escenario, ambiente
ph-v | shy away from | huir de, mantenerse alejado de
expr | social interaction | interacción social
adje | supportive | de apoyo, alentador
noun | tactic | táctica
expr | tell lies | decir mentiras
adje | telling | revelador
ph-v | think up | idear
adje | tragic | trágico
noun | turn of phrase | forma de hablar
adje | unskilled | no capacitado
adje | warring | en guerra, enfrentados
noun | admission | admisión
verb | brief | instruir, dar instrucciones, informar
noun | cliché | cliché, tópico (overused expression)
noun | expenses | gastos
expr | for sb's sake | por el bien de alguien
noun | gimmicky | efectista
adje | gorgeous | maravilloso
verb | implement | implementar
noun | measure | medida (ejemplo: Estas medidas son necesarias para garantizar la seguridad de ellos.)
expr | on track | encaminado
verb | overcome | superar, vencer
noun | overtime | horas extras, horas extraordinarias
noun | PA (personal assistant) | asistente personal
noun | personal statement | escrito de presentación (para ser candidato a algún curso de estudios)
ph-v | pick up | recoger, pasar a buscar (a una persona)
adje | polished | pulido
ph-v | put forward | presentar, ofrecer, postular
noun | quarrel | pelea
noun | quotation | cotización
verb | reconsider | reconsiderar
adje | reluctant | reacio
noun | resilience | resistencia, adaptación, resiliencia
verb | resist | resistir
adje | running | seguido, consecutivo
noun | scope | alcance, rango
adje | sensible | sensato
adje | stressful | estresante
verb | survey | encuesta
adje | temporary | temporal
noun | temptation | tentación
adje | tight | ajustado, ceñido (el tiempo o el dinero)
noun | tip | consejo
verb | urge | urgir a alguien, instar a alguien
adje | abundant | abundante
adje | adamant | firme, inflexible
